1. Email,2. Level of study,3. Faculty,4. AI familiarity,5. Used AI tools,6. Tools used,7. Usage frequency,8. Challenges,9. Helpful tools needed,10. Improves learning?,11. Suggestions
shawna12@gmail.com,Undergraduate,Engineering,Somewhat familiar,Microsoft Copilot,Microsoft Copilot,2,None,AI teaching assistant that adapts to learning styles,Yes,Develop Ensemble methods to predict skill mastery in Programming for early warning systems
jones_m@gmail.com,Undergraduate,Education,Somewhat familiar,ChatGPT,ChatGPT,3,Cost of implementation,AI teaching assistant that visualizes learning styles,Yes,Create Clinical skills-specific model using Random Forests that enables curriculum optimization
raymond.kline@gmail.com,Postgraduate,Engineering,Not familiar at all,None,None,1,None,AI teaching assistant that adapts to cognitive load,Maybe,Create Mathematics-specific model using Graph Neural Networks that enables personalized learning paths
lori80@gmail.com,Other,Education,Somewhat familiar,"ChatGPT, IBM Watson","ChatGPT, IBM Watson",3,"Cost of implementation, Cost of implementation",NLP-powered plagiarism detection system,Yes,Develop AI use policy addressing {issue}
ashley53@gmail.com,Postgraduate,Engineering,Somewhat familiar,"IBM Watson, Turnitin","IBM Watson, Turnitin",3,None,reinforcement learning-powered automated grading system,Maybe,Implement real-time course difficulty prediction in Programming courses with LSTM networks
theresa.rogers@gmail.com,Undergraduate,Health Sciences,Not familiar at all,None,None,1,Privacy concerns,reinforcement learning-powered writing assistance system,Yes,Create Mathematics-specific model using Bayesian networks that enables adaptive testing
silvak@gmail.com,Undergraduate,Health Sciences,Somewhat familiar,Turnitin,Turnitin,3,Limited awareness of available AI tools,Real-time clinical skills error detection,Maybe,Develop Graph Neural Networks to predict learning gaps in Engineering fundamentals for resource recommendation
veronica.wilson@gmail.com,Undergraduate,Business,Very familiar,"Turnitin, GitHub Copilot","Turnitin, GitHub Copilot",4,None,Automated languages problem generator,Maybe,Develop Graph Neural Networks to predict learning gaps in Programming for personalized learning paths
jacobson_s@gmail.com,Undergraduate,Engineering,Somewhat familiar,"Turnitin, IBM Watson","Turnitin, IBM Watson",3,None,reinforcement learning-powered automated grading system,Maybe,Develop LSTM networks to predict learning gaps in Language learning for resource recommendation
joseph.thompson@gmail.com,Undergraduate,Engineering,Very familiar,"Microsoft Copilot, IBM Watson, Turnitin","Microsoft Copilot, IBM Watson, Turnitin",3,None,NLP-powered automated grading system,Maybe,Time-series analysis-based system for curriculum optimization focusing on learning gaps in Programming
robert.michael@gmail.com,Undergraduate,Engineering,Not familiar at all,None,None,1,None,AI teaching assistant that predicts cognitive load,No,Implement real-time skill mastery prediction in Business courses courses with Graph Neural Networks
douglas87@gmail.com,Undergraduate,Business,Very familiar,"Microsoft Copilot, ChatGPT, Turnitin","Microsoft Copilot, ChatGPT, Turnitin",3,"None, Lack of training on how to use AI tools",NLP-powered code debugging system,Yes,TA training program on AI ethics
ryan.myers@gmail.com,Undergraduate,Business,Somewhat familiar,"Turnitin, IBM Watson","Turnitin, IBM Watson",2,None,predictive analytics-powered plagiarism detection system,Maybe,Create Engineering fundamentals-specific model using Random Forests that enables personalized learning paths
eddie32@gmail.com,Postgraduate,Business,Very familiar,"Turnitin, ChatGPT, Microsoft Copilot, IBM Watson","Turnitin, ChatGPT, Microsoft Copilot, IBM Watson",5,None,Personalized math learning coach,No,Implement real-time knowledge retention prediction in Clinical skills courses with Random Forests
romeroj@gmail.com,Postgraduate,Health Sciences,Somewhat familiar,"ChatGPT, Turnitin","ChatGPT, Turnitin",2,None,AI teaching assistant that adapts to cognitive load,No,Develop Time-series analysis to predict engagement levels in Engineering fundamentals for adaptive testing
robert.davis@gmail.com,Postgraduate,Engineering,Somewhat familiar,"GitHub Copilot, ChatGPT","GitHub Copilot, ChatGPT",3,None,NLP-powered automated grading system,Maybe,Implement real-time student performance prediction in Programming courses with Time-series analysis
beverly.woodard@gmail.com,Undergraduate,Education,Not familiar at all,None,None,1,None,computer vision-powered writing assistance system,No,Bayesian networks-based system for curriculum optimization focusing on skill mastery in Clinical skills
nathan.brennan@gmail.com,Undergraduate,Engineering,Somewhat familiar,GitHub Copilot,GitHub Copilot,2,None,AI teaching assistant that predicts knowledge gaps,Yes,Develop Ensemble methods to predict skill mastery in Business courses for personalized learning paths
michael90@gmail.com,Other,Education,Somewhat familiar,"Grammarly, Microsoft Copilot","Grammarly, Microsoft Copilot",3,None,NLP-powered plagiarism detection system,Maybe,Student training program on AI ethics
aaron45@gmail.com,Postgraduate,Engineering,Somewhat familiar,"ChatGPT, IBM Watson","ChatGPT, IBM Watson",3,None,predictive analytics-powered code debugging system,Yes,Develop Random Forests to predict engagement levels in Clinical skills for resource recommendation
sarah21@gmail.com,Other,Education,Not familiar at all,None,None,1,"Cost of implementation, Limited awareness of available AI tools",AI teaching assistant that adapts to knowledge gaps,No,Create Programming-specific model using Transformer models that enables tutor matching
melissa29@gmail.com,Undergraduate,Business,Not familiar at all,None,None,1,None,NLP-powered code debugging system,Yes,Time-series analysis-based system for tutor matching focusing on course difficulty in Clinical skills
sharpj@gmail.com,Postgraduate,Engineering,Somewhat familiar,"Microsoft Copilot, IBM Watson","Microsoft Copilot, IBM Watson",3,"Technical issues with tools/platforms, Limited awareness of available AI tools",knowledge graphs-powered plagiarism detection system,No,Transformer models-based system for early warning systems focusing on engagement levels in Engineering fundamentals
julia81@gmail.com,Undergraduate,Engineering,Somewhat familiar,Turnitin,Turnitin,2,None,AI teaching assistant that predicts knowledge gaps,Maybe,Create Programming-specific model using Bayesian networks that enables tutor matching
arroyo_d@gmail.com,Undergraduate,Business,Very familiar,"Turnitin, Grammarly, ChatGPT, IBM Watson","Turnitin, Grammarly, ChatGPT, IBM Watson",4,"Privacy concerns, Lack of access to devices or internet",knowledge graphs-powered automated grading system,No,Implement real-time learning gaps prediction in Clinical skills courses with Bayesian networks
mitchell37@gmail.com,Undergraduate,Business,Not familiar at all,None,None,1,None,predictive analytics-powered code debugging system,Yes,Create Language learning-specific model using Bayesian networks that enables resource recommendation
turner_r@gmail.com,Postgraduate,Engineering,Very familiar,"Grammarly, IBM Watson","Grammarly, IBM Watson",4,"Integration with existing systems, None",NLP-powered code debugging system,No,Ensemble methods-based system for curriculum optimization focusing on student performance in Programming
brian96@gmail.com,Undergraduate,Health Sciences,Somewhat familiar,"Microsoft Copilot, Grammarly","Microsoft Copilot, Grammarly",2,None,Real-time clinical skills error detection,No,LSTM networks-based system for early warning systems focusing on engagement levels in Mathematics
chambersp@gmail.com,Postgraduate,Health Sciences,Not familiar at all,None,None,1,"Privacy concerns, Technical issues with tools/platforms",computer vision-powered automated grading system,Maybe,Develop AI use policy addressing {issue}
knight_j@gmail.com,Postgraduate,Engineering,Somewhat familiar,Turnitin,Turnitin,2,"Privacy concerns, Cost of implementation",Real-time math error detection,Yes,Develop Ensemble methods to predict student performance in Clinical skills for tutor matching
chris.white@gmail.com,Postgraduate,Engineering,Somewhat familiar,Microsoft Copilot,Microsoft Copilot,3,Lack of access to devices or internet,Personalized math learning coach,No,Faculty training program on AI ethics
hannah.haney@gmail.com,Undergraduate,Engineering,Somewhat familiar,IBM Watson,IBM Watson,3,"Lack of access to devices or internet, Lack of training on how to use AI tools",Personalized math learning coach,No,Create Language learning-specific model using Random Forests that enables early warning systems
robin.peters@gmail.com,Undergraduate,Business,Somewhat familiar,Grammarly,Grammarly,2,"None, Lack of training on how to use AI tools",Automated programming problem generator,No,Develop Transformer models to predict dropout risk in Business courses for tutor matching
ford_a@gmail.com,Postgraduate,Education,Somewhat familiar,"Microsoft Copilot, ChatGPT","Microsoft Copilot, ChatGPT",2,None,Real-time clinical skills error detection,No,Develop Graph Neural Networks to predict knowledge retention in Mathematics for tutor matching
schroeder_m@gmail.com,Postgraduate,Engineering,Very familiar,"GitHub Copilot, IBM Watson, ChatGPT, Grammarly","GitHub Copilot, IBM Watson, ChatGPT, Grammarly",5,None,AI teaching assistant that predicts learning styles,No,Ensemble methods-based system for resource recommendation focusing on engagement levels in Clinical skills
joyce42@gmail.com,Undergraduate,Business,Somewhat familiar,"Grammarly, ChatGPT","Grammarly, ChatGPT",2,None,computer vision-powered plagiarism detection system,Maybe,Develop Transformer models to predict knowledge retention in Mathematics for adaptive testing
simmonsk@gmail.com,Postgraduate,Engineering,Not familiar at all,None,None,1,None,computer vision-powered concept visualization system,Yes,Create Clinical skills-specific model using Graph Neural Networks that enables resource recommendation
william.cook@gmail.com,Undergraduate,Business,Somewhat familiar,"Turnitin, ChatGPT","Turnitin, ChatGPT",3,None,predictive analytics-powered code debugging system,No,Create Programming-specific model using Random Forests that enables resource recommendation
carrie16@gmail.com,Undergraduate,Business,Somewhat familiar,"Microsoft Copilot, Turnitin","Microsoft Copilot, Turnitin",3,None,knowledge graphs-powered automated grading system,Maybe,Develop Ensemble methods to predict knowledge retention in Language learning for adaptive testing
jerry.tate@gmail.com,Postgraduate,Engineering,Very familiar,"ChatGPT, IBM Watson, Turnitin","ChatGPT, IBM Watson, Turnitin",4,None,AI teaching assistant that adapts to knowledge gaps,Maybe,Partner with international companies for tool access
courtney31@gmail.com,Postgraduate,Engineering,Somewhat familiar,"IBM Watson, ChatGPT","IBM Watson, ChatGPT",3,None,AI teaching assistant that predicts learning styles,No,Ensemble methods-based system for curriculum optimization focusing on student performance in Programming
jessica.mueller@gmail.com,Undergraduate,Health Sciences,Not familiar at all,None,None,1,None,predictive analytics-powered writing assistance system,Maybe,Ensemble methods-based system for curriculum optimization focusing on student performance in Programming
stevensm@gmail.com,Undergraduate,Engineering,Somewhat familiar,"Microsoft Copilot, ChatGPT","Microsoft Copilot, ChatGPT",3,"Privacy concerns, Integration with existing systems",NLP-powered concept visualization system,Maybe,Develop Random Forests to predict dropout risk in Business courses for personalized learning paths
whitney.simmons@gmail.com,Undergraduate,Health Sciences,Very familiar,"ChatGPT, Turnitin, GitHub Copilot, Microsoft Copilot","ChatGPT, Turnitin, GitHub Copilot, Microsoft Copilot",4,"Lack of training on how to use AI tools, None",Personalized clinical skills learning coach,Yes,Bayesian networks-based system for tutor matching focusing on skill mastery in Business courses
steven.may@gmail.com,Postgraduate,Engineering,Somewhat familiar,GitHub Copilot,GitHub Copilot,3,Integration with existing systems,AI teaching assistant that visualizes cognitive load,Maybe,Implement real-time engagement levels prediction in Language learning courses with Ensemble methods
autumn91@gmail.com,Postgraduate,Business,Not familiar at all,None,None,1,None,predictive analytics-powered writing assistance system,No,Develop Random Forests to predict skill mastery in Business courses for curriculum optimization
laura56@gmail.com,Other,Engineering,Not familiar at all,None,None,1,None,Personalized programming learning coach,Maybe,Develop Random Forests to predict student performance in Clinical skills for personalized learning paths
kelly71@gmail.com,Other,Engineering,Not familiar at all,None,None,1,"Lack of training on how to use AI tools, None",computer vision-powered concept visualization system,Maybe,Create student AI ambassador program
gonzalez_d@gmail.com,Other,Engineering,Not familiar at all,None,None,1,None,Automated programming problem generator,Maybe,Create Clinical skills-specific model using Ensemble methods that enables adaptive testing
robert.dixon@gmail.com,Postgraduate,Business,Somewhat familiar,Turnitin,Turnitin,3,None,reinforcement learning-powered writing assistance system,No,Develop LSTM networks to predict learning gaps in Language learning for curriculum optimization
vaughank@gmail.com,Postgraduate,Engineering,Very familiar,"GitHub Copilot, IBM Watson","GitHub Copilot, IBM Watson",5,None,AI teaching assistant that predicts cognitive load,Maybe,Develop Random Forests to predict student performance in Clinical skills for personalized learning paths
pattonm@gmail.com,Undergraduate,Engineering,Not familiar at all,None,None,1,None,AI teaching assistant that predicts knowledge gaps,Maybe,LSTM networks-based system for adaptive testing focusing on engagement levels in Engineering fundamentals
schmidt_m@gmail.com,Postgraduate,Engineering,Very familiar,"Turnitin, IBM Watson, Microsoft Copilot, ChatGPT","Turnitin, IBM Watson, Microsoft Copilot, ChatGPT",5,"Integration with existing systems, Lack of training on how to use AI tools",computer vision-powered concept visualization system,Yes,Transformer models-based system for early warning systems focusing on dropout risk in Business courses
samuel17@gmail.com,Postgraduate,Health Sciences,Somewhat familiar,"GitHub Copilot, Grammarly","GitHub Copilot, Grammarly",2,None,AI teaching assistant that visualizes cognitive load,No,Develop Ensemble methods to predict skill mastery in Engineering fundamentals for early warning systems
albert.smith@gmail.com,Postgraduate,Education,Very familiar,"Grammarly, Microsoft Copilot, ChatGPT","Grammarly, Microsoft Copilot, ChatGPT",3,None,predictive analytics-powered writing assistance system,Yes,Transformer models-based system for early warning systems focusing on engagement levels in Engineering fundamentals
miranda16@gmail.com,Postgraduate,Business,Not familiar at all,None,None,1,"Limited awareness of available AI tools, Cost of implementation",Personalized languages learning coach,No,Develop Time-series analysis to predict dropout risk in Language learning for personalized learning paths
michael69@gmail.com,Postgraduate,Engineering,Not familiar at all,None,None,1,"None, Lack of access to devices or internet",knowledge graphs-powered code debugging system,Maybe,Develop Ensemble methods to predict student performance in Programming for early warning systems
alan16@gmail.com,Postgraduate,Education,Somewhat familiar,ChatGPT,ChatGPT,3,Privacy concerns,Personalized programming learning coach,No,Develop LSTM networks to predict knowledge retention in Programming for curriculum optimization
grant_d@gmail.com,Other,Engineering,Somewhat familiar,Microsoft Copilot,Microsoft Copilot,3,"Technical issues with tools/platforms, Limited awareness of available AI tools",NLP-powered writing assistance system,Yes,Develop Ensemble methods to predict course difficulty in Clinical skills for curriculum optimization
travisd@gmail.com,Postgraduate,Engineering,Somewhat familiar,ChatGPT,ChatGPT,3,None,AI teaching assistant that visualizes cognitive load,No,Bayesian networks-based system for personalized learning paths focusing on course difficulty in Clinical skills
jonathan.adams@gmail.com,Postgraduate,Engineering,Somewhat familiar,Microsoft Copilot,Microsoft Copilot,3,"Lack of training on how to use AI tools, Limited awareness of available AI tools",knowledge graphs-powered concept visualization system,Maybe,Implement real-time learning gaps prediction in Language learning courses with Transformer models
jim72@gmail.com,Undergraduate,Business,Somewhat familiar,"GitHub Copilot, Turnitin","GitHub Copilot, Turnitin",2,"Lack of access to devices or internet, None",reinforcement learning-powered plagiarism detection system,Maybe,Ensemble methods-based system for curriculum optimization focusing on engagement levels in Programming
bowen_n@gmail.com,Undergraduate,Education,Very familiar,"IBM Watson, GitHub Copilot, Microsoft Copilot, ChatGPT","IBM Watson, GitHub Copilot, Microsoft Copilot, ChatGPT",3,None,NLP-powered code debugging system,Maybe,Implement real-time engagement levels prediction in Language learning courses with Ensemble methods
nicole.cook@gmail.com,Postgraduate,Business,Somewhat familiar,"IBM Watson, Grammarly","IBM Watson, Grammarly",2,"None, Technical issues with tools/platforms",AI teaching assistant that visualizes cognitive load,Yes,Create student AI ambassador program
gloverk@gmail.com,Postgraduate,Education,Somewhat familiar,Microsoft Copilot,Microsoft Copilot,3,Privacy concerns,AI teaching assistant that visualizes learning styles,Maybe,Develop Random Forests to predict skill mastery in Language learning for adaptive testing
ramirezm@gmail.com,Postgraduate,Engineering,Somewhat familiar,"Grammarly, Turnitin","Grammarly, Turnitin",3,"Cost of implementation, None",NLP-powered concept visualization system,No,Implement real-time knowledge retention prediction in Clinical skills courses with Bayesian networks
julie81@gmail.com,Undergraduate,Education,Very familiar,"Turnitin, Grammarly, IBM Watson","Turnitin, Grammarly, IBM Watson",4,None,AI teaching assistant that visualizes cognitive load,Yes,Implement real-time course difficulty prediction in Mathematics courses with Transformer models
weissk@gmail.com,Postgraduate,Business,Somewhat familiar,"Grammarly, ChatGPT","Grammarly, ChatGPT",3,"Lack of access to devices or internet, None",computer vision-powered automated grading system,Maybe,Time-series analysis-based system for tutor matching focusing on knowledge retention in Engineering fundamentals
kim.moore@gmail.com,Undergraduate,Health Sciences,Somewhat familiar,IBM Watson,IBM Watson,3,None,reinforcement learning-powered writing assistance system,Yes,LSTM networks-based system for adaptive testing focusing on dropout risk in Business courses
douglas93@gmail.com,Undergraduate,Business,Somewhat familiar,ChatGPT,ChatGPT,3,None,Real-time languages error detection,Maybe,Create Clinical skills-specific model using Graph Neural Networks that enables early warning systems
william14@gmail.com,Undergraduate,Engineering,Somewhat familiar,IBM Watson,IBM Watson,3,Technical issues with tools/platforms,predictive analytics-powered concept visualization system,No,Random Forests-based system for curriculum optimization focusing on skill mastery in Engineering fundamentals
richard87@gmail.com,Undergraduate,Health Sciences,Very familiar,"Grammarly, GitHub Copilot, Microsoft Copilot","Grammarly, GitHub Copilot, Microsoft Copilot",5,None,Automated programming problem generator,No,Create Engineering fundamentals-specific model using Bayesian networks that enables personalized learning paths
hoffmans@gmail.com,Undergraduate,Engineering,Somewhat familiar,Grammarly,Grammarly,3,"Integration with existing systems, Cost of implementation",knowledge graphs-powered concept visualization system,No,Develop Bayesian networks to predict engagement levels in Engineering fundamentals for resource recommendation
wendy.day@gmail.com,Undergraduate,Health Sciences,Somewhat familiar,Turnitin,Turnitin,2,None,NLP-powered plagiarism detection system,No,Create Business courses-specific model using Time-series analysis that enables curriculum optimization
sharon48@gmail.com,Postgraduate,Business,Not familiar at all,None,None,1,Lack of training on how to use AI tools,Personalized languages learning coach,No,Develop Bayesian networks to predict course difficulty in Business courses for early warning systems
pittmanj@gmail.com,Undergraduate,Business,Somewhat familiar,Grammarly,Grammarly,2,Privacy concerns,knowledge graphs-powered writing assistance system,Maybe,Implement real-time skill mastery prediction in Business courses courses with Time-series analysis
breanna.roberts@gmail.com,Other,Engineering,Very familiar,"IBM Watson, Turnitin, ChatGPT, GitHub Copilot","IBM Watson, Turnitin, ChatGPT, GitHub Copilot",4,None,reinforcement learning-powered writing assistance system,Maybe,Develop Transformer models to predict engagement levels in Engineering fundamentals for tutor matching
brenda.fernandez@gmail.com,Postgraduate,Education,Somewhat familiar,IBM Watson,IBM Watson,2,None,knowledge graphs-powered concept visualization system,No,Time-series analysis-based system for personalized learning paths focusing on course difficulty in Language learning
madeline.smith@gmail.com,Postgraduate,Health Sciences,Somewhat familiar,"IBM Watson, Turnitin","IBM Watson, Turnitin",2,Technical issues with tools/platforms,predictive analytics-powered concept visualization system,Maybe,Create Language learning-specific model using Random Forests that enables early warning systems
mary.moore@gmail.com,Postgraduate,Business,Not familiar at all,None,None,1,None,knowledge graphs-powered plagiarism detection system,No,Implement real-time skill mastery prediction in Clinical skills courses with Ensemble methods
darrell.hoover@gmail.com,Undergraduate,Health Sciences,Somewhat familiar,"Microsoft Copilot, IBM Watson","Microsoft Copilot, IBM Watson",3,None,AI teaching assistant that predicts cognitive load,Maybe,Bayesian networks-based system for tutor matching focusing on skill mastery in Business courses
samantha.vaughn@gmail.com,Undergraduate,Education,Somewhat familiar,ChatGPT,ChatGPT,2,None,AI teaching assistant that visualizes learning styles,Maybe,Develop Random Forests to predict engagement levels in Mathematics for personalized learning paths
ethan.estrada@gmail.com,Undergraduate,Health Sciences,Somewhat familiar,"Grammarly, ChatGPT","Grammarly, ChatGPT",2,None,AI teaching assistant that predicts cognitive load,No,Create Clinical skills-specific model using Bayesian networks that enables tutor matching
jennifer.houston@gmail.com,Undergraduate,Engineering,Very familiar,"GitHub Copilot, ChatGPT, Grammarly","GitHub Copilot, ChatGPT, Grammarly",3,None,predictive analytics-powered automated grading system,Maybe,Create Language learning-specific model using Random Forests that enables early warning systems
bass_s@gmail.com,Undergraduate,Business,Very familiar,"GitHub Copilot, Turnitin, Grammarly, Microsoft Copilot","GitHub Copilot, Turnitin, Grammarly, Microsoft Copilot",4,"None, Lack of access to devices or internet",knowledge graphs-powered writing assistance system,No,Create Business courses-specific model using Time-series analysis that enables personalized learning paths
curtis_p@gmail.com,Postgraduate,Education,Very familiar,"IBM Watson, Microsoft Copilot, Turnitin","IBM Watson, Microsoft Copilot, Turnitin",3,Privacy concerns,NLP-powered automated grading system,No,Develop Graph Neural Networks to predict knowledge retention in Mathematics for tutor matching
jason.taylor@gmail.com,Undergraduate,Business,Not familiar at all,None,None,1,None,reinforcement learning-powered writing assistance system,No,Implement real-time skill mastery prediction in Business courses courses with Ensemble methods
dorothy81@gmail.com,Undergraduate,Business,Somewhat familiar,Microsoft Copilot,Microsoft Copilot,3,None,Real-time languages error detection,Maybe,Develop Time-series analysis to predict engagement levels in Engineering fundamentals for adaptive testing
justin34@gmail.com,Postgraduate,Engineering,Not familiar at all,None,None,1,None,AI teaching assistant that adapts to learning styles,Maybe,Create Programming-specific model using LSTM networks that enables personalized learning paths
danielle81@gmail.com,Undergraduate,Business,Somewhat familiar,Grammarly,Grammarly,2,None,computer vision-powered code debugging system,Yes,Create Language learning-specific model using Transformer models that enables resource recommendation
meagan87@gmail.com,Undergraduate,Education,Somewhat familiar,"Microsoft Copilot, GitHub Copilot","Microsoft Copilot, GitHub Copilot",3,Technical issues with tools/platforms,knowledge graphs-powered automated grading system,Maybe,Graph Neural Networks-based system for resource recommendation focusing on knowledge retention in Language learning
sherman_l@gmail.com,Postgraduate,Business,Somewhat familiar,"Microsoft Copilot, ChatGPT","Microsoft Copilot, ChatGPT",3,None,reinforcement learning-powered automated grading system,Yes,Develop Ensemble methods to predict skill mastery in Business courses for early warning systems
jonathan80@gmail.com,Undergraduate,Engineering,Somewhat familiar,"GitHub Copilot, Grammarly","GitHub Copilot, Grammarly",2,"Limited awareness of available AI tools, Technical issues with tools/platforms",predictive analytics-powered plagiarism detection system,Maybe,Create Engineering fundamentals-specific model using Time-series analysis that enables curriculum optimization
michael.hansen@gmail.com,Postgraduate,Engineering,Not familiar at all,None,None,1,Integration with existing systems,Real-time languages error detection,Maybe,TA training program on prompt engineering
becky.baker@gmail.com,Undergraduate,Engineering,Somewhat familiar,ChatGPT,ChatGPT,2,None,knowledge graphs-powered code debugging system,Maybe,Implement real-time skill mastery prediction in Business courses courses with LSTM networks
murray_e@gmail.com,Postgraduate,Health Sciences,Not familiar at all,None,None,1,None,reinforcement learning-powered writing assistance system,No,Develop Graph Neural Networks to predict student performance in Engineering fundamentals for curriculum optimization
mcconnellk@gmail.com,Undergraduate,Engineering,Very familiar,"Microsoft Copilot, Grammarly, ChatGPT, IBM Watson","Microsoft Copilot, Grammarly, ChatGPT, IBM Watson",5,None,Personalized clinical skills learning coach,Maybe,Ensemble methods-based system for tutor matching focusing on student performance in Programming
ashley42@gmail.com,Postgraduate,Engineering,Somewhat familiar,"GitHub Copilot, Grammarly","GitHub Copilot, Grammarly",3,None,NLP-powered automated grading system,Maybe,Implement real-time skill mastery prediction in Mathematics courses with Bayesian networks
patricia.smith@gmail.com,Postgraduate,Business,Somewhat familiar,IBM Watson,IBM Watson,3,None,Personalized languages learning coach,Yes,Graph Neural Networks-based system for resource recommendation focusing on knowledge retention in Language learning
reynoldsk@gmail.com,Undergraduate,Education,Not familiar at all,None,None,1,None,AI teaching assistant that visualizes knowledge gaps,Maybe,Implement real-time course difficulty prediction in Programming courses with LSTM networks
david.jackson@gmail.com,Undergraduate,Education,Very familiar,"Grammarly, Turnitin","Grammarly, Turnitin",5,None,knowledge graphs-powered code debugging system,Maybe,Graph Neural Networks-based system for adaptive testing focusing on engagement levels in Business courses
michael60@gmail.com,Undergraduate,Education,Somewhat familiar,"Microsoft Copilot, Grammarly","Microsoft Copilot, Grammarly",3,"Lack of training on how to use AI tools, Privacy concerns",computer vision-powered automated grading system,Yes,Implement real-time student performance prediction in Programming courses with LSTM networks
matthew39@gmail.com,Other,Health Sciences,Somewhat familiar,"Microsoft Copilot, IBM Watson","Microsoft Copilot, IBM Watson",2,None,reinforcement learning-powered writing assistance system,No,Create Engineering fundamentals-specific model using Random Forests that enables personalized learning paths
jennifer.shaffer@gmail.com,Undergraduate,Business,Not familiar at all,None,None,1,None,reinforcement learning-powered automated grading system,No,Bayesian networks-based system for curriculum optimization focusing on engagement levels in Business courses
hudson_m@gmail.com,Postgraduate,Business,Somewhat familiar,ChatGPT,ChatGPT,2,Privacy concerns,Automated math problem generator,Yes,Develop Time-series analysis to predict learning gaps in Mathematics for adaptive testing
michael21@gmail.com,Postgraduate,Education,Very familiar,"ChatGPT, IBM Watson, GitHub Copilot","ChatGPT, IBM Watson, GitHub Copilot",5,None,Real-time math error detection,Maybe,Develop LSTM networks to predict knowledge retention in Mathematics for tutor matching
barbara.moon@gmail.com,Undergraduate,Health Sciences,Somewhat familiar,GitHub Copilot,GitHub Copilot,2,"Integration with existing systems, Integration with existing systems",NLP-powered writing assistance system,No,Student training program on AI ethics
michael.young@gmail.com,Undergraduate,Engineering,Somewhat familiar,"Turnitin, Microsoft Copilot","Turnitin, Microsoft Copilot",3,Technical issues with tools/platforms,predictive analytics-powered writing assistance system,Maybe,Develop Random Forests to predict learning gaps in Clinical skills for tutor matching
kevin73@gmail.com,Undergraduate,Engineering,Somewhat familiar,"Turnitin, GitHub Copilot","Turnitin, GitHub Copilot",2,None,computer vision-powered plagiarism detection system,No,Create Business courses-specific model using Time-series analysis that enables resource recommendation
samantha65@gmail.com,Postgraduate,Engineering,Very familiar,"Microsoft Copilot, Turnitin","Microsoft Copilot, Turnitin",4,None,AI teaching assistant that visualizes knowledge gaps,Maybe,Create Clinical skills-specific model using Random Forests that enables curriculum optimization
jonathan83@gmail.com,Postgraduate,Business,Somewhat familiar,GitHub Copilot,GitHub Copilot,3,None,Real-time languages error detection,Yes,Develop Random Forests to predict skill mastery in Language learning for adaptive testing
green_j@gmail.com,Postgraduate,Business,Somewhat familiar,Microsoft Copilot,Microsoft Copilot,3,None,AI teaching assistant that predicts learning styles,No,Transformer models-based system for early warning systems focusing on knowledge retention in Mathematics
baldwin_s@gmail.com,Postgraduate,Business,Not familiar at all,None,None,1,"None, Integration with existing systems",Real-time languages error detection,Maybe,Develop AI use policy addressing {issue}
